,carat,cut,depth,table,price,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
15118,0.41,3,62.0,55.0,647,0,0,0,0,0,1,0,0,0,1,0,0,0
24953,0.42,4,60.4,59.0,1103,0,0,1,0,0,0,0,0,0,0,0,0,1
10839,0.32,3,58.4,57.0,524,0,0,1,0,0,0,0,0,0,0,1,0,0
22775,0.74,5,61.9,56.0,3087,0,0,0,0,0,0,0,0,0,0,1,0,0
2301,0.51,5,61.6,56.0,1662,0,0,1,0,0,0,0,0,0,1,0,0,0
9726,0.52,5,61.6,57.0,1897,0,0,1,0,0,0,0,0,0,0,0,0,1
10355,1.01,2,63.7,58.0,3852,0,0,1,0,0,0,0,0,1,0,0,0,0
11980,1.03,5,62.2,59.0,7211,0,0,1,0,0,0,0,0,0,1,0,0,0
15912,0.7,3,63.6,57.0,2681,0,0,1,0,0,0,0,0,0,0,0,0,1
3657,0.79,5,62.2,55.0,3827,1,0,0,0,0,0,0,0,0,0,1,0,0
18479,0.23,5,61.9,55.0,586,1,0,0,0,0,0,0,0,0,1,0,0,0
21835,0.31,5,62.3,57.0,936,1,0,0,0,0,0,0,0,0,0,0,1,0
3439,0.23,3,61.3,60.0,530,1,0,0,0,0,0,0,0,0,0,0,1,0
2537,1.52,1,61.2,60.0,8818,0,0,0,1,0,0,0,1,0,0,0,0,0
6355,1.29,3,61.2,58.0,5209,0,0,0,0,0,1,0,1,0,0,0,0,0
13681,0.42,5,62.2,54.0,1087,0,0,1,0,0,0,0,0,0,0,1,0,0
16744,0.5,5,61.4,57.0,1838,0,0,1,0,0,0,0,0,0,0,0,0,1
14041,0.36,5,61.5,55.0,1718,0,0,0,0,0,0,0,0,0,0,0,1,0
20778,0.3,5,61.3,56.0,506,0,0,0,0,1,0,0,1,0,0,0,0,0
2798,1.17,5,62.0,57.0,7423,0,0,1,0,0,0,0,0,0,0,1,0,0
1249,0.31,2,63.8,55.0,408,0,0,0,0,1,0,0,1,0,0,0,0,0
22415,1.0,4,60.7,58.0,3877,0,0,0,0,0,1,0,0,0,0,1,0,0
20478,0.73,4,60.2,58.0,2037,0,0,0,0,0,1,0,0,0,1,0,0,0
23517,0.9,4,63.0,58.0,4486,0,0,1,0,0,0,0,0,0,0,0,0,1
12709,0.32,4,60.4,58.0,589,0,0,0,0,0,0,0,1,0,0,0,0,0
15071,0.4,2,63.6,59.0,678,0,1,0,0,0,0,0,1,0,0,0,0,0
23263,0.59,5,61.5,57.0,1437,0,0,1,0,0,0,0,1,0,0,0,0,0
15101,1.54,4,63.0,59.0,8176,0,0,1,0,0,0,0,1,0,0,0,0,0
6703,0.66,4,60.6,58.0,1802,0,1,0,0,0,0,0,1,0,0,0,0,0
6122,0.34,5,62.1,57.0,596,0,0,1,0,0,0,0,0,0,0,1,0,0
3911,0.51,5,62.2,56.0,2203,0,1,0,0,0,0,0,0,0,0,0,0,1
11140,0.41,3,62.4,57.0,899,0,0,1,0,0,0,0,0,0,1,0,0,0
6196,0.55,4,60.2,58.0,1410,0,1,0,0,0,0,0,1,0,0,0,0,0
48,0.73,3,62.1,58.0,2395,1,0,0,0,0,0,0,0,1,0,0,0,0
16930,1.16,2,63.7,63.0,4395,0,1,0,0,0,0,0,0,1,0,0,0,0
5366,0.6,4,60.4,60.0,1896,0,0,0,0,0,0,0,1,0,0,0,0,0
16697,0.3,5,60.6,57.0,956,1,0,0,0,0,0,0,0,0,0,0,1,0
7906,1.02,4,62.6,59.0,6087,0,0,1,0,0,0,0,0,0,0,1,0,0
19097,0.36,5,62.7,57.0,667,0,1,0,0,0,0,0,1,0,0,0,0,0
5385,1.61,5,62.6,58.0,12085,0,1,0,0,0,0,0,1,0,0,0,0,0
5060,0.3,1,64.4,58.0,819,0,0,1,0,0,0,0,0,0,0,0,0,1
7424,0.3,3,61.7,61.0,421,1,0,0,0,0,0,0,0,1,0,0,0,0
23567,0.28,3,62.4,54.0,450,0,0,0,1,0,0,0,0,0,0,0,0,1
3422,0.4,5,62.0,57.0,597,0,1,0,0,0,0,0,0,1,0,0,0,0
18228,0.77,4,61.6,58.0,2275,0,0,0,0,1,0,0,0,0,0,1,0,0
23624,0.3,5,61.8,58.0,886,0,1,0,0,0,0,1,0,0,0,0,0,0
9236,0.41,4,60.8,59.0,1079,1,0,0,0,0,0,0,0,0,1,0,0,0
5300,0.52,5,61.1,57.0,3033,1,0,0,0,0,0,1,0,0,0,0,0,0
23928,0.41,5,62.4,57.0,899,0,0,1,0,0,0,0,0,0,1,0,0,0
9300,0.42,5,61.3,56.0,1216,1,0,0,0,0,0,0,0,0,0,0,0,1
23190,0.49,2,57.5,60.0,1738,0,0,0,0,0,0,0,0,0,1,0,0,0
3726,0.71,4,60.7,54.0,2809,0,1,0,0,0,0,0,1,0,0,0,0,0
19551,1.43,3,62.2,58.0,10419,0,0,1,0,0,0,0,0,0,0,1,0,0
1421,0.72,5,62.1,54.0,2989,0,1,0,0,0,0,0,0,0,0,1,0,0
3262,1.58,4,61.745146555006194,58.0,11786,0,0,1,0,0,0,0,0,0,0,1,0,0
26475,0.51,5,61.7,54.0,1000,0,0,0,0,1,0,0,1,0,0,0,0,0
13563,0.51,5,60.3,58.0,1899,0,0,0,1,0,0,1,0,0,0,0,0,0
8318,0.52,5,61.8,56.0,1075,0,0,0,0,1,0,0,1,0,0,0,0,0
10181,0.57,5,60.8,57.0,1869,0,1,0,0,0,0,0,0,0,0,1,0,0
12567,1.52,5,60.6,57.0,15760,0,0,1,0,0,0,0,0,0,0,0,0,1
9352,0.91,4,61.9,61.0,4138,1,0,0,0,0,0,0,1,0,0,0,0,0
10592,0.3,5,62.4,55.0,665,0,0,1,0,0,0,0,0,0,0,0,0,1
9268,0.3,3,62.4,58.0,526,1,0,0,0,0,0,0,1,0,0,0,0,0
2098,0.7,1,61.745146555006194,59.0,1803,0,0,0,1,0,0,0,1,0,0,0,0,0
15202,0.51,4,62.1,57.0,2185,1,0,0,0,0,0,0,0,0,0,0,0,1
24029,0.32,5,62.1,57.0,645,0,1,0,0,0,0,0,0,0,0,1,0,0
6209,0.35,5,61.7,56.0,491,1,0,0,0,0,0,0,0,1,0,0,0,0
7468,2.01,4,59.8,58.0,15977,0,0,1,0,0,0,0,0,1,0,0,0,0
20086,0.57,4,60.7,58.0,1571,0,1,0,0,0,0,0,1,0,0,0,0,0
3117,0.3,5,61.4,56.0,844,0,1,0,0,0,0,0,0,0,1,0,0,0
164,0.5,3,63.9,55.0,1604,1,0,0,0,0,0,0,0,0,1,0,0,0
619,0.39,5,61.4,56.0,796,1,0,0,0,0,0,0,0,0,0,1,0,0
26383,0.56,5,61.4,57.0,1723,0,0,0,0,0,0,0,1,0,0,0,0,0
19122,1.0,4,61.5,60.0,5390,0,0,0,0,0,0,0,1,0,0,0,0,0
5535,0.31,5,61.6,56.0,891,0,0,1,0,0,0,1,0,0,0,0,0,0
21331,0.31,5,61.0,56.0,642,0,1,0,0,0,0,0,0,0,1,0,0,0
14202,1.0,4,62.6,56.0,3830,0,0,0,0,1,0,0,0,1,0,0,0,0
5285,1.01,4,62.4,58.0,4497,0,1,0,0,0,0,0,0,1,0,0,0,0
22067,1.0,2,63.4,59.0,8359,1,0,0,0,0,0,0,0,0,0,0,1,0
9514,0.32,4,61.9,58.0,576,0,0,0,1,0,0,0,1,0,0,0,0,0
14180,2.14,5,61.9,56.0,14321,0,0,0,0,1,0,0,0,1,0,0,0,0
22680,1.0,4,62.7,59.0,6600,1,0,0,0,0,0,0,0,0,0,1,0,0
26093,1.02,2,64.3,57.0,5951,0,0,1,0,0,0,0,0,0,1,0,0,0
6310,1.06,3,60.5,56.0,6707,0,0,1,0,0,0,0,0,0,1,0,0,0
13108,1.51,2,64.0,59.0,10000,0,0,0,1,0,0,0,0,0,0,1,0,0
20169,1.57,5,61.9,55.0,11040,0,0,0,0,1,0,0,1,0,0,0,0,0
21524,0.36,4,61.8,58.0,1013,1,0,0,0,0,0,0,0,0,0,1,0,0
13978,0.56,3,59.5,57.0,1144,0,0,0,1,0,0,0,0,1,0,0,0,0
25893,0.41,5,60.8,56.0,961,0,0,1,0,0,0,0,0,0,1,0,0,0
25565,0.42,4,61.2,60.0,847,0,0,0,1,0,0,0,0,0,1,0,0,0
14816,0.52,4,61.5,60.0,1280,0,1,0,0,0,0,0,1,0,0,0,0,0
22350,0.66,3,61.9,59.0,2323,0,0,0,1,0,0,0,0,0,0,0,1,0
19778,0.3,4,60.9,59.0,473,0,0,0,1,0,0,0,0,1,0,0,0,0
1219,0.76,4,63.0,55.0,1629,0,0,1,0,0,0,0,0,0,0,0,0,0
6352,1.0,4,61.0,58.0,7280,0,0,0,0,0,0,0,0,0,1,0,0,0
21899,0.59,5,62.3,55.0,1431,0,0,1,0,0,0,0,1,0,0,0,0,0
506,1.5,4,61.7,62.0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0
16754,0.7,3,61.1,62.0,2230,1,0,0,0,0,0,0,0,1,0,0,0,0
5864,0.9,3,62.3,56.0,5001,1,0,0,0,0,0,0,0,0,1,0,0,0
18050,0.81,3,62.3,59.0,3095,0,0,1,0,0,0,0,1,0,0,0,0,0
8568,0.4,5,61.8,55.0,971,0,1,0,0,0,0,0,0,0,1,0,0,0
24873,0.25,3,61.3,56.0,633,1,0,0,0,0,0,1,0,0,0,0,0,0
1483,1.02,5,61.4,57.0,7055,0,0,1,0,0,0,0,0,0,1,0,0,0
18627,1.5,5,63.0,57.0,6720,0,0,1,0,0,0,0,0,1,0,0,0,0
26358,0.61,5,62.4,53.8,2331,0,0,1,0,0,0,0,0,0,0,0,0,1
23193,0.7,4,58.1,55.0,2657,0,0,1,0,0,0,0,0,0,0,1,0,0
25892,0.8,4,62.0,61.0,3369,0,1,0,0,0,0,0,0,0,0,1,0,0
23993,1.12,4,59.8,58.0,5329,0,0,1,0,0,0,0,1,0,0,0,0,0
18288,0.42,5,61.1,56.0,1235,0,0,1,0,0,0,0,0,0,0,0,1,0
15466,0.7,3,61.2,57.0,2100,0,1,0,0,0,0,0,0,1,0,0,0,0
4047,1.01,5,62.2,54.0,3377,0,1,0,0,0,0,0,0,0,0,0,0,0
17081,1.71,5,61.1,55.0,10438,0,0,0,0,1,0,0,0,1,0,0,0,0
11535,0.6,3,60.4,63.0,1378,0,0,0,1,0,0,0,1,0,0,0,0,0
12149,0.72,3,62.2,58.0,2804,0,1,0,0,0,0,0,0,0,1,0,0,0
2395,0.36,5,61.4,55.9,1138,0,1,0,0,0,0,1,0,0,0,0,0,0
26825,0.42,5,62.5,56.0,945,0,0,1,0,0,0,0,1,0,0,0,0,0
8271,1.0,4,61.4,61.0,3713,0,0,1,0,0,0,0,0,1,0,0,0,0
15714,1.14,4,61.1,59.0,4688,0,0,1,0,0,0,0,0,1,0,0,0,0
10475,1.5,4,61.745146555006194,53.0,13506,0,1,0,0,0,0,0,0,0,0,1,0,0
25131,1.51,1,65.6,54.0,4167,0,0,1,0,0,0,0,0,0,0,0,0,0
17881,1.01,2,58.7,62.0,6247,0,0,1,0,0,0,0,0,0,1,0,0,0
17674,1.01,4,62.1,56.0,4805,0,0,1,0,0,0,0,1,0,0,0,0,0
23700,0.32,5,60.8,57.0,842,1,0,0,0,0,0,0,0,0,0,0,0,1
9732,0.3,5,62.2,54.0,477,0,0,1,0,0,0,0,1,0,0,0,0,0
20333,1.01,4,59.3,56.0,2683,0,0,0,0,0,1,0,0,1,0,0,0,0
3720,0.59,4,61.1,57.0,1789,0,0,1,0,0,0,0,0,0,0,1,0,0
23555,0.8,3,63.6,57.0,3559,0,1,0,0,0,0,0,0,0,1,0,0,0
25576,0.43,5,61.6,57.0,1016,0,1,0,0,0,0,0,1,0,0,0,0,0
8875,0.92,5,61.745146555006194,57.0,3854,0,0,0,1,0,0,0,0,1,0,0,0,0
16046,0.73,4,62.4,55.0,2346,0,1,0,0,0,0,0,1,0,0,0,0,0
15021,1.08,5,61.1,56.0,9545,0,0,0,0,0,0,0,0,0,1,0,0,0
20250,1.08,5,61.8,56.0,5256,0,0,1,0,0,0,0,1,0,0,0,0,0
8820,0.71,2,63.9,57.0,2331,0,1,0,0,0,0,0,1,0,0,0,0,0
13007,0.41,5,61.4,54.0,625,0,0,0,0,1,0,0,0,0,0,1,0,0
20894,0.31,4,60.5,59.0,734,1,0,0,0,0,0,0,0,0,1,0,0,0
25616,0.91,5,61.745146555006194,56.0,4199,0,0,0,0,1,0,0,0,0,0,1,0,0
23756,0.78,5,61.7,56.0,3056,0,0,1,0,0,0,0,1,0,0,0,0,0
13134,1.09,5,62.1,56.0,5164,0,0,0,0,0,0,0,0,1,0,0,0,0
21026,0.31,5,61.7,55.0,642,1,0,0,0,0,0,0,0,0,0,1,0,0
10415,0.39,4,62.1,58.0,1097,0,0,0,1,0,0,0,0,0,0,0,0,1
26650,0.71,5,61.8,57.0,2654,1,0,0,0,0,0,0,0,0,0,1,0,0
15064,0.72,5,62.6,57.0,2731,1,0,0,0,0,0,0,1,0,0,0,0,0
6475,0.71,5,61.5,55.0,3516,0,1,0,0,0,0,0,0,0,0,1,0,0
2912,0.72,3,59.7,59.0,2655,1,0,0,0,0,0,0,0,1,0,0,0,0
781,1.0,5,62.3,56.0,5887,0,0,1,0,0,0,0,0,0,0,1,0,0
14828,1.02,5,61.5,57.0,6306,0,1,0,0,0,0,0,0,0,0,1,0,0
10286,0.34,4,61.1,59.0,775,0,0,0,1,0,0,0,0,0,0,0,1,0
17238,0.3,2,63.2,56.0,552,0,0,0,0,0,0,0,1,0,0,0,0,0
13017,0.4,3,63.4,56.0,855,0,0,0,0,0,0,0,0,1,0,0,0,0
10477,1.01,2,65.9,54.0,7001,0,1,0,0,0,0,0,0,0,0,0,0,1
23716,0.8,5,61.0,57.0,4170,0,0,0,0,0,0,0,0,0,0,1,0,0
8197,1.0,1,65.5,56.0,3146,0,1,0,0,0,0,0,0,1,0,0,0,0
2884,0.32,4,62.6,59.0,561,0,0,1,0,0,0,0,0,0,0,1,0,0
626,1.01,4,62.8,58.0,9412,0,1,0,0,0,0,0,0,0,0,0,1,0
16054,0.4,5,62.9,55.0,1104,0,0,1,0,0,0,0,0,0,1,0,0,0
23689,1.5,4,61.4,59.0,11588,0,1,0,0,0,0,0,1,0,0,0,0,0
1729,1.52,4,62.6,55.0,12958,0,0,1,0,0,0,0,0,0,0,1,0,0
816,0.35,4,62.1,58.0,798,0,0,0,1,0,0,0,0,0,0,0,1,0
13208,0.91,5,61.6,57.0,2981,0,0,0,0,1,0,0,0,1,0,0,0,0
18789,1.24,5,61.4,56.0,5520,0,0,1,0,0,0,0,0,1,0,0,0,0
1622,0.26,2,58.4,63.0,403,0,0,0,0,0,0,0,0,0,1,0,0,0
26202,1.27,5,61.7,57.0,6635,0,0,0,1,0,0,0,1,0,0,0,0,0
19388,0.3,4,58.4,62.0,1071,0,0,1,0,0,0,1,0,0,0,0,0,0
1811,0.73,5,61.7,57.0,2087,0,1,0,0,0,0,0,0,1,0,0,0,0
20922,1.01,3,62.3,56.0,10704,1,0,0,0,0,0,0,0,0,0,0,1,0
20962,0.34,4,60.2,60.0,537,0,0,0,1,0,0,0,0,0,0,1,0,0
14182,1.01,3,61.6,61.0,5759,0,0,1,0,0,0,0,0,0,0,1,0,0
2272,0.37,4,61.5,58.0,811,1,0,0,0,0,0,0,0,0,0,1,0,0
10648,1.02,3,62.4,58.0,6622,0,0,1,0,0,0,0,0,0,1,0,0,0
19823,2.16,5,61.9,57.0,17820,0,0,0,1,0,0,0,1,0,0,0,0,0
20798,1.02,4,62.5,60.0,3141,0,0,0,1,0,0,0,0,0,0,0,0,0
686,0.9,2,63.2,61.0,3950,0,1,0,0,0,0,0,1,0,0,0,0,0
4868,2.02,3,63.2,53.0,16179,0,0,0,0,1,0,0,0,0,0,1,0,0
18737,1.11,5,60.9,57.0,8233,0,1,0,0,0,0,0,0,0,0,1,0,0
9758,1.7,5,62.4,55.0,13949,0,0,0,1,0,0,0,0,0,1,0,0,0
20050,0.76,5,61.0,55.0,3201,0,1,0,0,0,0,0,0,0,0,1,0,0
6765,2.19,4,60.8,60.0,15169,0,0,0,0,1,0,0,0,1,0,0,0,0
9633,1.12,5,61.0,56.0,7632,0,0,1,0,0,0,0,0,0,1,0,0,0
4942,0.9,3,61.3,59.0,4269,0,0,1,0,0,0,0,0,0,0,1,0,0
346,0.7,5,60.6,57.0,3384,0,0,1,0,0,0,0,0,0,1,0,0,0
21320,0.52,3,62.9,59.0,1847,0,0,0,0,0,0,0,0,0,0,1,0,0
18787,1.09,3,61.4,58.0,10463,0,1,0,0,0,0,0,0,0,0,0,1,0
3841,0.32,5,61.6,55.0,1107,0,0,0,0,0,0,0,0,0,0,0,0,1
2731,1.01,3,63.2,57.0,5701,0,0,1,0,0,0,0,0,0,0,1,0,0
7975,0.3,3,62.6,61.0,394,0,1,0,0,0,0,0,0,1,0,0,0,0
758,0.54,5,60.5,56.0,1754,1,0,0,0,0,0,0,0,0,0,1,0,0
20274,1.51,4,59.4,62.0,7235,0,0,0,1,0,0,0,0,1,0,0,0,0
11179,1.7,3,62.9,60.0,10808,0,0,0,0,0,1,0,0,0,0,0,1,0
15509,0.38,5,61.5,57.0,840,0,0,1,0,0,0,0,0,0,0,1,0,0
12352,0.33,5,62.2,56.0,854,0,0,0,1,0,0,0,0,0,0,0,0,1
18468,1.02,3,59.2,58.0,6612,1,0,0,0,0,0,0,0,0,0,1,0,0
435,0.9,2,62.9,61.0,3946,0,0,0,0,1,0,0,0,0,0,0,0,1
17603,0.74,5,61.9,57.0,3633,1,0,0,0,0,0,0,0,0,0,0,0,1
12659,1.11,5,61.2,56.0,6857,0,0,1,0,0,0,0,0,0,0,1,0,0
24372,0.26,5,62.7,55.0,635,0,1,0,0,0,0,0,0,0,0,0,1,0
10079,0.52,5,60.9,57.0,1600,0,0,0,0,0,0,0,1,0,0,0,0,0
7176,0.33,4,59.5,59.0,579,0,0,0,1,0,0,0,0,0,1,0,0,0
19984,1.65,3,62.0,58.0,12773,0,0,0,1,0,0,0,0,0,1,0,0,0
9980,1.5,3,62.1,59.0,9548,1,0,0,0,0,0,0,0,1,0,0,0,0
2324,1.2,3,61.8,56.0,6713,0,0,0,1,0,0,0,0,0,1,0,0,0
12728,1.01,5,62.0,57.0,3450,1,0,0,0,0,0,0,0,0,0,0,0,0
2281,1.14,5,61.4,56.0,5548,0,0,0,0,0,0,0,0,1,0,0,0,0
26466,0.76,5,62.1,56.0,2978,1,0,0,0,0,0,0,0,1,0,0,0,0
7126,0.28,3,60.1,59.0,642,0,1,0,0,0,0,0,0,0,0,0,1,0
609,1.52,2,64.4,59.0,9368,0,0,1,0,0,0,0,1,0,0,0,0,0
18993,1.54,4,61.6,59.0,12308,0,0,1,0,0,0,0,0,0,0,1,0,0
26666,0.59,5,59.5,57.0,1221,0,1,0,0,0,0,0,0,1,0,0,0,0
10300,0.41,3,62.7,60.0,835,0,0,1,0,0,0,0,0,0,0,1,0,0
14627,1.11,4,61.5,59.0,5315,0,0,0,1,0,0,0,1,0,0,0,0,0
19217,0.52,4,61.5,62.0,2012,0,0,1,0,0,0,0,0,0,0,0,0,1
6600,0.44,5,62.0,57.0,1255,0,0,0,1,0,0,1,0,0,0,0,0,0
19725,0.3,3,62.9,58.0,710,0,0,0,0,0,0,0,0,0,0,1,0,0
5177,0.75,5,61.6,55.0,2902,0,0,1,0,0,0,0,1,0,0,0,0,0
26720,0.43,5,61.745146555006194,56.0,1008,0,0,0,1,0,0,0,0,0,0,0,0,1
22967,0.57,5,62.2,56.0,1751,0,1,0,0,0,0,0,1,0,0,0,0,0
17942,0.6,4,59.3,60.0,2124,1,0,0,0,0,0,0,0,0,0,1,0,0
12063,0.91,3,63.3,57.0,3282,0,0,1,0,0,0,0,0,1,0,0,0,0
24815,2.19,2,63.7,57.0,11522,0,0,0,0,1,0,0,0,1,0,0,0,0
26502,0.72,2,60.8,62.0,3140,1,0,0,0,0,0,0,0,0,0,1,0,0
15577,0.86,3,63.8,56.0,3115,0,0,0,1,0,0,0,1,0,0,0,0,0
17543,1.01,1,68.1,59.0,3054,0,0,0,0,1,0,0,0,1,0,0,0,0
13902,0.31,5,61.4,54.0,680,1,0,0,0,0,0,0,0,0,0,1,0,0
3927,1.26,5,61.8,56.0,8941,0,0,0,1,0,0,0,0,0,0,0,0,1
11363,2.09,2,57.9,63.0,16294,0,0,0,0,1,0,0,1,0,0,0,0,0
4548,0.9,5,62.5,57.0,4579,0,0,0,0,0,0,0,1,0,0,0,0,0
9072,1.28,4,59.9,59.0,6701,0,0,0,1,0,0,0,1,0,0,0,0,0
9517,0.7,3,61.7,56.0,2310,0,0,1,0,0,0,0,1,0,0,0,0,0
12868,0.7,5,62.7,54.0,4021,0,1,0,0,0,0,0,0,0,0,0,1,0
9163,1.2,4,61.745146555006194,58.0,5280,0,0,0,1,0,0,0,0,1,0,0,0,0
3428,1.06,5,62.2,55.0,5223,1,0,0,0,0,0,0,0,1,0,0,0,0
11267,1.23,5,61.2,57.0,6015,0,0,0,0,0,1,0,0,0,0,1,0,0
12084,0.5,5,60.5,57.0,1640,0,0,0,0,1,0,0,0,0,0,0,0,1
14102,1.05,3,62.9,57.0,6373,0,0,0,0,0,0,0,0,0,0,1,0,0
5676,0.32,5,62.4,56.0,648,0,0,0,0,1,0,0,0,0,1,0,0,0
26936,0.51,5,62.0,57.0,1750,0,0,1,0,0,0,0,0,0,0,0,0,1
4732,1.03,5,62.4,56.0,7391,0,0,1,0,0,0,0,0,0,1,0,0,0
12281,0.3,4,61.1,62.0,630,0,0,1,0,0,0,0,0,0,0,1,0,0
20564,0.33,5,61.745146555006194,57.0,1002,1,0,0,0,0,0,0,0,0,1,0,0,0
12982,1.17,5,61.5,57.0,5892,0,0,0,0,1,0,0,0,0,1,0,0,0
21077,1.2,4,59.4,58.0,7258,0,0,1,0,0,0,0,0,0,0,1,0,0
15253,0.71,4,61.745146555006194,56.0,2840,0,1,0,0,0,0,0,0,0,0,1,0,0
1077,2.06,5,59.2,57.0,15691,0,0,0,0,1,0,0,0,0,0,1,0,0
1264,0.65,4,59.6,58.0,1970,0,1,0,0,0,0,0,0,0,0,1,0,0
9628,1.26,3,63.3,58.0,7910,0,0,1,0,0,0,0,1,0,0,0,0,0
21534,1.06,3,60.7,59.0,5415,0,0,0,1,0,0,0,0,0,0,1,0,0
13541,0.52,4,62.6,58.0,1249,0,0,1,0,0,0,0,1,0,0,0,0,0
5474,0.51,3,60.6,60.0,1601,0,1,0,0,0,0,0,0,0,0,1,0,0
25372,0.62,5,62.8,57.0,1652,0,0,0,1,0,0,0,0,0,0,1,0,0
13990,1.52,4,60.6,58.0,16779,1,0,0,0,0,0,0,0,0,1,0,0,0
844,1.14,5,62.3,55.0,10512,1,0,0,0,0,0,0,0,0,0,0,0,1
14726,1.82,3,62.2,56.0,10090,0,0,0,0,0,1,0,0,0,1,0,0,0
17441,0.3,5,62.9,56.0,675,1,0,0,0,0,0,0,1,0,0,0,0,0
24387,2.01,4,62.5,60.0,9658,0,0,0,0,1,0,0,0,1,0,0,0,0
835,0.24,2,60.8,64.0,373,0,1,0,0,0,0,0,0,0,1,0,0,0
18076,0.59,5,61.1,57.0,1445,0,0,0,1,0,0,0,1,0,0,0,0,0
13217,0.51,3,63.3,58.0,2925,1,0,0,0,0,0,1,0,0,0,0,0,0
18399,0.32,3,60.8,56.0,660,0,0,1,0,0,0,0,0,0,1,0,0,0
1775,0.81,5,60.3,57.0,2864,1,0,0,0,0,0,0,0,1,0,0,0,0
14244,0.43,2,63.1,58.0,704,0,0,1,0,0,0,0,1,0,0,0,0,0
20714,0.23,2,62.8,61.0,505,0,1,0,0,0,0,0,0,0,0,0,0,1
16457,1.1,5,61.6,54.0,6621,0,1,0,0,0,0,0,1,0,0,0,0,0
18710,0.3,2,63.2,58.0,491,0,0,0,1,0,0,0,0,0,1,0,0,0
8038,1.16,5,61.8,54.0,6084,0,0,0,1,0,0,0,1,0,0,0,0,0
8464,0.93,2,63.8,59.0,4503,0,0,1,0,0,0,0,0,0,1,0,0,0
7111,0.51,5,61.9,57.0,1882,0,0,0,0,0,0,0,0,0,0,1,0,0
9911,1.54,2,63.6,60.0,10164,0,0,0,0,1,0,0,0,0,1,0,0,0
21379,0.3,5,61.8,56.0,789,1,0,0,0,0,0,0,0,0,0,0,0,1
126,0.76,3,63.0,59.0,2668,1,0,0,0,0,0,0,1,0,0,0,0,0
12408,0.4,5,62.2,57.0,552,0,0,0,0,0,1,0,1,0,0,0,0,0
18453,1.2,3,63.1,59.0,5376,0,0,0,0,0,1,0,0,0,1,0,0,0
15560,0.35,5,62.0,55.0,756,0,0,0,1,0,0,0,0,0,0,0,1,0
10617,1.71,4,61.745146555006194,57.0,11246,0,0,0,0,1,0,0,0,0,1,0,0,0
3327,1.83,3,62.0,57.0,12379,1,0,0,0,0,0,0,0,1,0,0,0,0
3091,0.3,3,63.5,58.0,1010,0,0,0,0,0,0,0,0,0,0,0,0,1
8605,0.34,2,63.1,56.0,445,1,0,0,0,0,0,0,0,1,0,0,0,0
12330,1.04,3,60.0,61.0,4427,0,1,0,0,0,0,0,0,1,0,0,0,0
1413,1.31,4,62.8,57.0,5759,0,0,0,0,1,0,0,0,0,1,0,0,0
18210,0.87,5,62.2,56.0,3090,0,1,0,0,0,0,0,0,1,0,0,0,0
12039,0.52,5,62.5,57.0,1707,0,1,0,0,0,0,0,0,0,1,0,0,0
20278,2.01,3,63.8,59.0,17422,0,0,0,0,1,0,0,0,0,0,1,0,0
1585,1.57,5,61.745146555006194,56.0,15144,0,0,1,0,0,0,0,0,0,0,0,0,1
4275,0.5,3,62.3,57.0,1847,0,0,0,0,0,0,0,0,0,1,0,0,0
12729,1.11,5,61.4,57.0,4709,0,0,0,1,0,0,0,0,1,0,0,0,0
18893,1.69,4,59.8,60.0,14242,0,1,0,0,0,0,0,0,0,0,1,0,0
20384,0.25,5,61.0,55.0,367,0,0,0,1,0,0,0,0,0,0,1,0,0
22958,1.02,4,60.1,60.0,5686,0,1,0,0,0,0,0,1,0,0,0,0,0
16699,1.21,5,62.7,55.2,5390,0,0,0,0,0,1,0,1,0,0,0,0,0
8186,0.71,5,61.7,55.0,3041,0,1,0,0,0,0,0,0,0,1,0,0,0
16576,1.53,5,62.5,57.0,11525,0,1,0,0,0,0,0,1,0,0,0,0,0
13760,0.31,5,61.3,57.0,802,0,1,0,0,0,0,0,0,0,0,1,0,0
8329,0.3,3,62.1,58.0,552,0,0,0,0,0,0,0,1,0,0,0,0,0
5004,1.02,3,61.4,58.0,4137,0,0,0,0,0,1,0,1,0,0,0,0,0
13926,0.72,3,62.2,59.0,2404,0,1,0,0,0,0,0,1,0,0,0,0,0
11018,0.3,5,61.3,56.0,886,0,1,0,0,0,0,1,0,0,0,0,0,0
11219,1.11,5,62.0,56.0,7472,0,0,1,0,0,0,0,0,0,0,1,0,0
6551,0.71,5,61.3,56.0,3710,0,1,0,0,0,0,0,0,0,1,0,0,0
22257,0.62,5,60.3,57.0,2492,1,0,0,0,0,0,0,0,0,1,0,0,0
26829,0.39,2,64.3,55.0,681,0,1,0,0,0,0,0,0,0,0,1,0,0
12457,2.04,3,61.8,60.0,18127,0,0,0,0,1,0,0,0,0,1,0,0,0
3386,0.29,4,62.1,59.0,547,0,0,1,0,0,0,0,0,0,1,0,0,0
539,1.22,4,62.3,59.0,7395,1,0,0,0,0,0,0,1,0,0,0,0,0
8954,0.33,5,61.2,56.0,957,0,1,0,0,0,0,1,0,0,0,0,0,0
24836,0.53,2,57.9,58.0,1140,1,0,0,0,0,0,0,0,1,0,0,0,0
23777,0.36,3,63.1,57.0,708,0,1,0,0,0,0,0,0,0,0,1,0,0
